ma_phieu,tuyen,lop,so_thu_tu,loai,nhom_ma,nhom_ten,ten_phieu,hoc_ky,tuan,moc_kiem_tra,thoi_luong_phut,thang_diem
GITA-T2-L4-P024,T2,4,24,CD,F,Hình học,"Diện tích hình bình hành, hình thoi và bài toán ngược",HK1,8,Giữa kỳ I,90,100
GITA-T2-L4-P025,T2,4,25,CD,G,Suy luận logic & Toán đếm,Toán đếm: quy tắc cộng và quy tắc nhân,HK1,9,Giữa kỳ I,90,100
GITA-T2-L4-P026,T2,4,26,CD,B,Phép tính & Tính nhanh,Tìm x trong biểu thức nhiều tầng,HK1,9,Giữa kỳ I,90,100
GITA-T2-L4-P027,T2,4,27,CD,A,Số học & Cấu tạo số,"Bài toán về số và chữ số: viết thêm, xoá bớt chữ số",HK1,9,Giữa kỳ I,90,100
GITA-T2-L4-P028,T2,4,28,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về hai đại lượng tỉ lệ thuận,HK1,10,Cuối kỳ I,90,100
GITA-T2-L4-P029,T2,4,29,CD,E,Đại lượng – Đo lường – Thời gian,Đổi đơn vị đo diện tích và bài toán ngược,HK1,10,Cuối kỳ I,90,100
GITA-T2-L4-P030,T2,4,30,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 3 — Tổng ôn phiếu P021–P029,HK1,10,Cuối kỳ I,90,100
GITA-T2-L4-P031,T2,4,31,CD,C,Dãy số & Quy luật,Tổng dãy số cách đều và dãy số đặc biệt,HK1,11,Cuối kỳ I,90,100
GITA-T2-L4-P032,T2,4,32,CD,G,Suy luận logic & Toán đếm,"Bài toán trồng cây: đường thẳng, đường tròn, đa giác",HK1,11,Cuối kỳ I,90,100
GITA-T2-L4-P033,T2,4,33,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về hai đại lượng tỉ lệ nghịch,HK1,11,Cuối kỳ I,90,100
GITA-T2-L4-P034,T2,4,34,CD,F,Hình học,Bài toán chia hình thành các phần bằng nhau,HK1,12,Cuối kỳ I,90,100
GITA-T2-L4-P035,T2,4,35,CD,A,Số học & Cấu tạo số,Bài toán chia có dư và ứng dụng,HK1,12,Cuối kỳ I,90,100
GITA-T2-L4-P036,T2,4,36,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,"Phân số: rút gọn, quy đồng, so sánh nâng cao",HK1,12,Cuối kỳ I,90,100
GITA-T2-L4-P037,T2,4,37,CD,B,Phép tính & Tính nhanh,Tính nhanh dãy phân số có quy luật,HK1,13,Cuối kỳ I,90,100
GITA-T2-L4-P038,T2,4,38,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán tổng – tỉ và hiệu – tỉ kết hợp,HK1,13,Cuối kỳ I,90,100
GITA-T2-L4-P039,T2,4,39,CD,G,Suy luận logic & Toán đếm,Suy luận logic: bài toán nói thật – nói dối,HK1,13,Cuối kỳ I,90,100
GITA-T2-L4-P040,T2,4,40,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 4 — Tổng ôn phiếu P031–P039,HK1,14,Cuối kỳ I,90,100
GITA-T2-L4-P041,T2,4,41,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,"So sánh phân số bằng phần bù, phần hơn và số trung gian",HK1,14,Cuối kỳ I,90,100
GITA-T2-L4-P042,T2,4,42,CD,F,Hình học,Diện tích tam giác — làm quen và bài toán chia đôi diện tích,HK1,14,Cuối kỳ I,90,100
GITA-T2-L4-P043,T2,4,43,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về công việc chung,HK1,15,Cuối kỳ I,90,100
GITA-T2-L4-P044,T2,4,44,CD,C,Dãy số & Quy luật,Quy luật bảng số và ma trận số,HK1,15,Cuối kỳ I,90,100
GITA-T2-L4-P045,T2,4,45,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Bốn phép tính với phân số — kỹ thuật tính nhanh,HK1,15,Cuối kỳ I,90,100
GITA-T2-L4-P046,T2,4,46,CD,G,Suy luận logic & Toán đếm,Nguyên lý bù trừ với hai và ba tập hợp,HK1,16,Cuối kỳ I,90,100
GITA-T2-L4-P047,T2,4,47,CD,A,Số học & Cấu tạo số,"Số nguyên tố, hợp số — làm quen",HK1,16,Cuối kỳ I,90,100
GITA-T2-L4-P048,T2,4,48,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về tỉ lệ bản đồ và tỉ lệ thực tế,HK1,16,Cuối kỳ I,90,100
GITA-T2-L4-P049,T2,4,49,CD,F,Hình học,Bài toán về diện tích phần tô màu,HK1,17,Cuối kỳ I,90,100
GITA-T2-L4-P050,T2,4,50,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 5 — Tổng ôn phiếu P041–P049,HK1,17,Cuối kỳ I,90,100
GITA-T2-L4-P051,T2,4,51,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Tìm phân số của một số và bài toán ngược,HK1,17,Cuối kỳ I,90,100
GITA-T2-L4-P052,T2,4,52,CD,G,Suy luận logic & Toán đếm,Bài toán bất biến: đại lượng không đổi,HK1,18,Cuối kỳ I,90,100
GITA-T2-L4-P053,T2,4,53,CD,C,Dãy số & Quy luật,"Dãy số hình: số chấm, số ô vuông, số que",HK1,18,Cuối kỳ I,90,100
GITA-T2-L4-P054,T2,4,54,CD,D,Toán điển hình & Giải toán có lời văn,"Bài toán chuyển động làm quen: quãng đường, vận tốc, thời gian",HK1,18,Cuối kỳ I,90,100
GITA-T2-L4-P055,T2,4,55,CD,A,Số học & Cấu tạo số,Bài toán về chữ số tận cùng của lũy thừa,HK2,19,Giữa kỳ II,90,100
GITA-T2-L4-P056,T2,4,56,CD,F,Hình học,Chu vi và diện tích khi thay đổi kích thước,HK2,19,Giữa kỳ II,90,100
GITA-T2-L4-P057,T2,4,57,CD,B,Phép tính & Tính nhanh,Tính giá trị biểu thức có quy luật,HK2,19,Giữa kỳ II,90,100
GITA-T2-L4-P058,T2,4,58,CD,D,Toán điển hình & Giải toán có lời văn,"Bài toán hai vòi nước, hai người làm chung",HK2,20,Giữa kỳ II,90,100
GITA-T2-L4-P059,T2,4,59,CD,G,Suy luận logic & Toán đếm,Bài toán chia kẹo và bài toán phân phối,HK2,20,Giữa kỳ II,90,100
GITA-T2-L4-P060,T2,4,60,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 6 — Tổng ôn phiếu P051–P059,HK2,20,Giữa kỳ II,90,100
GITA-T2-L4-P061,T2,4,61,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Bài toán có lời văn với phân số nâng cao,HK2,21,Giữa kỳ II,90,100
GITA-T2-L4-P062,T2,4,62,CD,F,Hình học,"Bài toán về hình chữ nhật khi tăng, giảm chiều",HK2,21,Giữa kỳ II,90,100
GITA-T2-L4-P063,T2,4,63,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về trung bình cộng nâng cao,HK2,21,Giữa kỳ II,90,100
GITA-T2-L4-P064,T2,4,64,CD,C,Dãy số & Quy luật,Tìm số hạng còn thiếu và số hạng bị xoá của dãy số,HK2,22,Giữa kỳ II,90,100
GITA-T2-L4-P065,T2,4,65,CD,G,Suy luận logic & Toán đếm,Toán đếm: đếm số thoả điều kiện về chữ số,HK2,22,Giữa kỳ II,90,100
GITA-T2-L4-P066,T2,4,66,CD,A,Số học & Cấu tạo số,Bài toán tìm số tự nhiên thoả nhiều điều kiện,HK2,22,Giữa kỳ II,90,100
GITA-T2-L4-P067,T2,4,67,CD,E,Đại lượng – Đo lường – Thời gian,"Bài toán thực tế: đo lường, mua bán, giảm giá",HK2,23,Giữa kỳ II,90,100
GITA-T2-L4-P068,T2,4,68,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về tổng nhiều số với điều kiện ràng buộc,HK2,23,Giữa kỳ II,90,100
GITA-T2-L4-P069,T2,4,69,CD,F,Hình học,Bài toán ghép và cắt hình nâng cao,HK2,23,Giữa kỳ II,90,100
GITA-T2-L4-P070,T2,4,70,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 7 — Tổng ôn phiếu P061–P069,HK2,24,Giữa kỳ II,90,100
GITA-T2-L4-P071,T2,4,71,CD,G,Suy luận logic & Toán đếm,Suy luận logic tổng hợp với nhiều dữ kiện,HK2,24,Giữa kỳ II,90,100
GITA-T2-L4-P072,T2,4,72,CD,A,Số học & Cấu tạo số,Bài toán về số chia hết và số dư,HK2,24,Giữa kỳ II,90,100
GITA-T2-L4-P073,T2,4,73,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về tuổi nâng cao — ba đối tượng,HK2,25,Giữa kỳ II,90,100
GITA-T2-L4-P074,T2,4,74,CD,C,Dãy số & Quy luật,Dãy số và bài toán đánh số trang sách,HK2,25,Giữa kỳ II,90,100
GITA-T2-L4-P075,T2,4,75,CD,F,Hình học,Bài toán hình học có yếu tố chuyển động,HK2,25,Giữa kỳ II,90,100
GITA-T2-L4-P076,T2,4,76,CD,B,Phép tính & Tính nhanh,Tính nhanh tổng hợp dạng đề thi,HK2,26,Giữa kỳ II,90,100
GITA-T2-L4-P077,T2,4,77,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Bài toán phân số dạng đề thi vào lớp 6,HK2,26,Giữa kỳ II,90,100
GITA-T2-L4-P078,T2,4,78,CD,E,Đại lượng – Đo lường – Thời gian,Bài toán đại lượng dạng đề thi,HK2,26,Giữa kỳ II,90,100
GITA-T2-L4-P079,T2,4,79,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán điển hình dạng đề thi vào lớp 6,HK2,27,Cuối kỳ II,90,100
GITA-T2-L4-P080,T2,4,80,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 8 — Tổng ôn phiếu P071–P079,HK2,27,Cuối kỳ II,90,100
GITA-T2-L4-P081,T2,4,81,CD,G,Suy luận logic & Toán đếm,Bài toán suy luận dạng đề thi vào lớp 6,HK2,27,Cuối kỳ II,90,100
GITA-T2-L4-P082,T2,4,82,CD,F,Hình học,Bài toán hình học dạng đề thi vào lớp 6,HK2,28,Cuối kỳ II,90,100
GITA-T2-L4-P083,T2,4,83,CD,A,Số học & Cấu tạo số,Bài toán số học dạng đề thi vào lớp 6,HK2,28,Cuối kỳ II,90,100
GITA-T2-L4-P084,T2,4,84,CD,C,Dãy số & Quy luật,Bài toán dãy số dạng đề thi vào lớp 6,HK2,28,Cuối kỳ II,90,100
GITA-T2-L4-P085,T2,4,85,CD,D,Toán điển hình & Giải toán có lời văn,Mô phỏng đề thi CLC lớp 4 — phần tự luận,HK2,29,Cuối kỳ II,90,100
GITA-T2-L4-P086,T2,4,86,CD,G,Suy luận logic & Toán đếm,Mô phỏng đề thi CLC lớp 4 — phần trắc nghiệm nhanh,HK2,29,Cuối kỳ II,90,100
GITA-T2-L4-P087,T2,4,87,CD,A,Số học & Cấu tạo số,Tổng ôn số học nâng cao lớp 4,HK2,29,Cuối kỳ II,90,100
GITA-T2-L4-P088,T2,4,88,CD,D,Toán điển hình & Giải toán có lời văn,Tổng ôn toán điển hình nâng cao lớp 4,HK2,30,Cuối kỳ II,90,100
GITA-T2-L4-P089,T2,4,89,CD,F,Hình học,Tổng ôn hình học nâng cao lớp 4,HK2,30,Cuối kỳ II,90,100
GITA-T2-L4-P090,T2,4,90,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 9 — Tổng ôn phiếu P081–P089,HK2,30,Cuối kỳ II,90,100
GITA-T2-L4-P091,T2,4,91,CD,C,Dãy số & Quy luật,Tổng ôn dãy số và quy luật nâng cao,HK2,31,Cuối kỳ II,90,100
GITA-T2-L4-P092,T2,4,92,CD,G,Suy luận logic & Toán đếm,Tổng ôn suy luận và toán đếm nâng cao,HK2,31,Cuối kỳ II,90,100
GITA-T2-L4-P093,T2,4,93,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Tổng ôn phân số nâng cao,HK2,31,Cuối kỳ II,90,100
GITA-T2-L4-P094,T2,4,94,CD,B,Phép tính & Tính nhanh,Tổng ôn tính nhanh nâng cao,HK2,32,Cuối kỳ II,90,100
GITA-T2-L4-P095,T2,4,95,CD,E,Đại lượng – Đo lường – Thời gian,Tổng ôn đại lượng và toán thực tế,HK2,32,Cuối kỳ II,90,100
GITA-T2-L4-P096,T2,4,96,CD,D,Toán điển hình & Giải toán có lời văn,Tổng ôn giải toán có lời văn nâng cao,HK2,32,Cuối kỳ II,90,100
GITA-T2-L4-P097,T2,4,97,CD,A,Số học & Cấu tạo số,Tổng ôn chia hết và cấu tạo số,HK2,33,Cuối kỳ II,90,100
GITA-T2-L4-P098,T2,4,98,CD,F,Hình học,Tổng ôn hình học và đếm hình,HK2,33,Cuối kỳ II,90,100
GITA-T2-L4-P099,T2,4,99,CD,D,Toán điển hình & Giải toán có lời văn,Tổng ôn cuối năm — mô phỏng đề thi vào lớp 6,HK2,33,Cuối kỳ II,90,100
GITA-T2-L4-P100,T2,4,100,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 10 — Tổng ôn phiếu P091–P099,HK2,34,Cuối kỳ II,90,100
GITA-T1-L5-P001,T1,5,1,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,"Ôn tập phân số: rút gọn, quy đồng, so sánh",HK1,1,Giữa kỳ I,90,100
GITA-T1-L5-P002,T1,5,2,CD,B,Phép tính & Tính nhanh,Ôn tập bốn phép tính với phân số,HK1,1,Giữa kỳ I,90,100
GITA-T1-L5-P003,T1,5,3,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Phân số thập phân — hỗn số,HK1,1,Giữa kỳ I,90,100
GITA-T1-L5-P004,T1,5,4,CD,E,Đại lượng – Đo lường – Thời gian,Ôn tập bảng đơn vị đo độ dài và khối lượng,HK1,2,Giữa kỳ I,90,100
GITA-T1-L5-P005,T1,5,5,CD,D,Toán điển hình & Giải toán có lời văn,"Ôn tập giải toán tổng – tỉ, hiệu – tỉ",HK1,2,Giữa kỳ I,90,100
GITA-T1-L5-P006,T1,5,6,CD,E,Đại lượng – Đo lường – Thời gian,"Đề-ca-mét vuông, héc-tô-mét vuông, héc-ta",HK1,2,Giữa kỳ I,90,100
GITA-T1-L5-P007,T1,5,7,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về quan hệ tỉ lệ thuận và tỉ lệ nghịch,HK1,3,Giữa kỳ I,90,100
GITA-T1-L5-P008,T1,5,8,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Khái niệm số thập phân — đọc và viết,HK1,3,Giữa kỳ I,90,100
GITA-T1-L5-P009,T1,5,9,CD,F,Hình học,"Ôn tập chu vi, diện tích các hình đã học",HK1,3,Giữa kỳ I,90,100
GITA-T1-L5-P010,T1,5,10,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 1 — Tổng ôn phiếu P001–P009,HK1,4,Giữa kỳ I,90,100
GITA-T1-L5-P011,T1,5,11,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,So sánh số thập phân — xếp thứ tự,HK1,4,Giữa kỳ I,90,100
GITA-T1-L5-P012,T1,5,12,CD,E,Đại lượng – Đo lường – Thời gian,"Viết số đo độ dài, khối lượng, diện tích dưới dạng số thập phân",HK1,4,Giữa kỳ I,90,100
GITA-T1-L5-P013,T1,5,13,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,"Cộng, trừ hai số thập phân",HK1,5,Giữa kỳ I,90,100
GITA-T1-L5-P014,T1,5,14,CD,C,Dãy số & Quy luật,Dãy số cách đều với số thập phân,HK1,5,Giữa kỳ I,90,100
GITA-T1-L5-P015,T1,5,15,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về trung bình cộng với số thập phân,HK1,5,Giữa kỳ I,90,100
GITA-T1-L5-P016,T1,5,16,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Nhân số thập phân với số tự nhiên; nhân hai số thập phân,HK1,6,Giữa kỳ I,90,100
GITA-T1-L5-P017,T1,5,17,CD,B,Phép tính & Tính nhanh,"Nhân nhẩm với 10, 100, 0,1 và 0,01 — kỹ thuật tính nhanh",HK1,6,Giữa kỳ I,90,100
GITA-T1-L5-P018,T1,5,18,CD,F,Hình học,Hình tam giác — đáy và đường cao,HK1,6,Giữa kỳ I,90,100
GITA-T1-L5-P019,T1,5,19,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Chia số thập phân cho số tự nhiên,HK1,7,Giữa kỳ I,90,100
GITA-T1-L5-P020,T1,5,20,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 2 — Tổng ôn phiếu P011–P019,HK1,7,Giữa kỳ I,90,100
GITA-T1-L5-P021,T1,5,21,CD,F,Hình học,Diện tích hình tam giác,HK1,7,Giữa kỳ I,90,100
GITA-T1-L5-P022,T1,5,22,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Chia một số cho số thập phân,HK1,8,Giữa kỳ I,90,100
GITA-T1-L5-P023,T1,5,23,CD,B,Phép tính & Tính nhanh,Tính giá trị biểu thức với số thập phân,HK1,8,Giữa kỳ I,90,100
GITA-T1-L5-P024,T1,5,24,CD,F,Hình học,"Hình thang — nhận dạng, đáy và đường cao",HK1,8,Giữa kỳ I,90,100
GITA-T1-L5-P025,T1,5,25,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán có lời văn với số thập phân,HK1,9,Giữa kỳ I,90,100
GITA-T1-L5-P026,T1,5,26,CD,F,Hình học,Diện tích hình thang,HK1,9,Giữa kỳ I,90,100
GITA-T1-L5-P027,T1,5,27,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Tỉ số phần trăm — khái niệm và cách viết,HK1,9,Giữa kỳ I,90,100
GITA-T1-L5-P028,T1,5,28,CD,A,Số học & Cấu tạo số,Ôn tập số tự nhiên và dấu hiệu chia hết,HK1,10,Cuối kỳ I,90,100
GITA-T1-L5-P029,T1,5,29,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Toán tỉ số phần trăm dạng 1: tìm tỉ số phần trăm của hai số,HK1,10,Cuối kỳ I,90,100
GITA-T1-L5-P030,T1,5,30,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 3 — Tổng ôn phiếu P021–P029,HK1,10,Cuối kỳ I,90,100
GITA-T1-L5-P031,T1,5,31,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Toán tỉ số phần trăm dạng 2: tìm giá trị phần trăm của một số,HK1,11,Cuối kỳ I,90,100
GITA-T1-L5-P032,T1,5,32,CD,F,Hình học,"Hình tròn — bán kính, đường kính, chu vi",HK1,11,Cuối kỳ I,90,100
GITA-T1-L5-P033,T1,5,33,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Toán tỉ số phần trăm dạng 3: tìm một số biết giá trị phần trăm,HK1,11,Cuối kỳ I,90,100
GITA-T1-L5-P034,T1,5,34,CD,F,Hình học,Diện tích hình tròn,HK1,12,Cuối kỳ I,90,100
GITA-T1-L5-P035,T1,5,35,CD,D,Toán điển hình & Giải toán có lời văn,"Bài toán phần trăm thực tế: lãi, lỗ, giảm giá",HK1,12,Cuối kỳ I,90,100
GITA-T1-L5-P036,T1,5,36,CD,C,Dãy số & Quy luật,Dãy số và quy luật với số thập phân,HK1,12,Cuối kỳ I,90,100
GITA-T1-L5-P037,T1,5,37,CD,F,Hình học,"Hình hộp chữ nhật, hình lập phương — nhận dạng",HK1,13,Cuối kỳ I,90,100
GITA-T1-L5-P038,T1,5,38,CD,E,Đại lượng – Đo lường – Thời gian,"Bảng đơn vị đo thể tích: cm³, dm³, m³",HK1,13,Cuối kỳ I,90,100
GITA-T1-L5-P039,T1,5,39,CD,F,Hình học,"Diện tích xung quanh, diện tích toàn phần hình hộp chữ nhật",HK1,13,Cuối kỳ I,90,100
GITA-T1-L5-P040,T1,5,40,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 4 — Tổng ôn phiếu P031–P039,HK1,14,Cuối kỳ I,90,100
GITA-T1-L5-P041,T1,5,41,CD,F,Hình học,"Diện tích xung quanh, diện tích toàn phần hình lập phương",HK1,14,Cuối kỳ I,90,100
GITA-T1-L5-P042,T1,5,42,CD,F,Hình học,Thể tích hình hộp chữ nhật,HK1,14,Cuối kỳ I,90,100
GITA-T1-L5-P043,T1,5,43,CD,F,Hình học,Thể tích hình lập phương,HK1,15,Cuối kỳ I,90,100
GITA-T1-L5-P044,T1,5,44,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về thể tích trong thực tế,HK1,15,Cuối kỳ I,90,100
GITA-T1-L5-P045,T1,5,45,CD,E,Đại lượng – Đo lường – Thời gian,"Bảng đơn vị đo thời gian — cộng, trừ số đo thời gian",HK1,15,Cuối kỳ I,90,100
GITA-T1-L5-P046,T1,5,46,CD,E,Đại lượng – Đo lường – Thời gian,"Nhân, chia số đo thời gian",HK1,16,Cuối kỳ I,90,100
GITA-T1-L5-P047,T1,5,47,CD,D,Toán điển hình & Giải toán có lời văn,Vận tốc — khái niệm và cách tính,HK1,16,Cuối kỳ I,90,100
GITA-T1-L5-P048,T1,5,48,CD,D,Toán điển hình & Giải toán có lời văn,Quãng đường — cách tính,HK1,16,Cuối kỳ I,90,100
GITA-T1-L5-P049,T1,5,49,CD,D,Toán điển hình & Giải toán có lời văn,Thời gian — cách tính,HK1,17,Cuối kỳ I,90,100
GITA-T1-L5-P050,T1,5,50,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 5 — Tổng ôn phiếu P041–P049,HK1,17,Cuối kỳ I,90,100
GITA-T1-L5-P051,T1,5,51,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán chuyển động cùng chiều,HK1,17,Cuối kỳ I,90,100
GITA-T1-L5-P052,T1,5,52,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán chuyển động ngược chiều,HK1,18,Cuối kỳ I,90,100
GITA-T1-L5-P053,T1,5,53,CD,F,Hình học,"Hình trụ, hình cầu — nhận dạng",HK1,18,Cuối kỳ I,90,100
GITA-T1-L5-P054,T1,5,54,CD,B,Phép tính & Tính nhanh,Tính nhanh biểu thức số thập phân,HK1,18,Cuối kỳ I,90,100
GITA-T1-L5-P055,T1,5,55,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán chuyển động trên dòng nước — làm quen,HK2,19,Giữa kỳ II,90,100
GITA-T1-L5-P056,T1,5,56,CD,G,Suy luận logic & Toán đếm,Suy luận logic với dữ kiện bảng biểu,HK2,19,Giữa kỳ II,90,100
GITA-T1-L5-P057,T1,5,57,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Biểu đồ hình quạt — đọc và phân tích,HK2,19,Giữa kỳ II,90,100
GITA-T1-L5-P058,T1,5,58,CD,C,Dãy số & Quy luật,Tổng dãy số cách đều — vận dụng,HK2,20,Giữa kỳ II,90,100
GITA-T1-L5-P059,T1,5,59,CD,E,Đại lượng – Đo lường – Thời gian,Bài toán đổi đơn vị đo tổng hợp,HK2,20,Giữa kỳ II,90,100
GITA-T1-L5-P060,T1,5,60,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 6 — Tổng ôn phiếu P051–P059,HK2,20,Giữa kỳ II,90,100
GITA-T1-L5-P061,T1,5,61,CD,F,Hình học,Bài toán về diện tích phần tô màu,HK2,21,Giữa kỳ II,90,100
GITA-T1-L5-P062,T1,5,62,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về tỉ lệ bản đồ và tỉ lệ xích,HK2,21,Giữa kỳ II,90,100
GITA-T1-L5-P063,T1,5,63,CD,A,Số học & Cấu tạo số,Bài toán về số và chữ số,HK2,21,Giữa kỳ II,90,100
GITA-T1-L5-P064,T1,5,64,CD,F,Hình học,"Bài toán hình học có yếu tố tăng, giảm kích thước",HK2,22,Giữa kỳ II,90,100
GITA-T1-L5-P065,T1,5,65,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về công việc chung và hai vòi nước,HK2,22,Giữa kỳ II,90,100
GITA-T1-L5-P066,T1,5,66,CD,B,Phép tính & Tính nhanh,Tìm x với số thập phân và phân số,HK2,22,Giữa kỳ II,90,100
GITA-T1-L5-P067,T1,5,67,CD,G,Suy luận logic & Toán đếm,Toán đếm cơ bản: quy tắc cộng và quy tắc nhân,HK2,23,Giữa kỳ II,90,100
GITA-T1-L5-P068,T1,5,68,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Bài toán phần trăm nhiều bước,HK2,23,Giữa kỳ II,90,100
GITA-T1-L5-P069,T1,5,69,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về tuổi,HK2,23,Giữa kỳ II,90,100
GITA-T1-L5-P070,T1,5,70,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 7 — Tổng ôn phiếu P061–P069,HK2,24,Giữa kỳ II,90,100
GITA-T1-L5-P071,T1,5,71,CD,F,Hình học,Bài toán kết hợp diện tích tam giác và hình thang,HK2,24,Giữa kỳ II,90,100
GITA-T1-L5-P072,T1,5,72,CD,C,Dãy số & Quy luật,Quy luật dãy số nâng cao,HK2,24,Giữa kỳ II,90,100
GITA-T1-L5-P073,T1,5,73,CD,E,Đại lượng – Đo lường – Thời gian,Bài toán thực tế về đo lường và tiền tệ,HK2,25,Giữa kỳ II,90,100
GITA-T1-L5-P074,T1,5,74,CD,A,Số học & Cấu tạo số,Bài toán chia hết và chia có dư,HK2,25,Giữa kỳ II,90,100
GITA-T1-L5-P075,T1,5,75,CD,G,Suy luận logic & Toán đếm,Bài toán trồng cây và bài toán chia đoạn,HK2,25,Giữa kỳ II,90,100
GITA-T1-L5-P076,T1,5,76,CD,D,Toán điển hình & Giải toán có lời văn,"Bài toán chuyển động nâng cao: gặp nhau, đuổi kịp",HK2,26,Giữa kỳ II,90,100
GITA-T1-L5-P077,T1,5,77,CD,F,Hình học,Bài toán về hình tròn kết hợp hình vuông,HK2,26,Giữa kỳ II,90,100
GITA-T1-L5-P078,T1,5,78,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Bài toán kết hợp phân số và số thập phân,HK2,26,Giữa kỳ II,90,100
GITA-T1-L5-P079,T1,5,79,CD,B,Phép tính & Tính nhanh,Tính nhanh tổng hợp,HK2,27,Cuối kỳ II,90,100
GITA-T1-L5-P080,T1,5,80,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 8 — Tổng ôn phiếu P071–P079,HK2,27,Cuối kỳ II,90,100
GITA-T1-L5-P081,T1,5,81,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán có lời văn nhiều bước dạng đề kiểm tra,HK2,27,Cuối kỳ II,90,100
GITA-T1-L5-P082,T1,5,82,CD,F,Hình học,Bài toán hình học không gian tổng hợp,HK2,28,Cuối kỳ II,90,100
GITA-T1-L5-P083,T1,5,83,CD,G,Suy luận logic & Toán đếm,Suy luận và toán đếm dạng đề kiểm tra,HK2,28,Cuối kỳ II,90,100
GITA-T1-L5-P084,T1,5,84,CD,A,Số học & Cấu tạo số,"Ôn tập số tự nhiên, phân số và số thập phân",HK2,28,Cuối kỳ II,90,100
GITA-T1-L5-P085,T1,5,85,CD,E,Đại lượng – Đo lường – Thời gian,Ôn tập đại lượng và đo lường,HK2,29,Cuối kỳ II,90,100
GITA-T1-L5-P086,T1,5,86,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Ôn tập tỉ số phần trăm,HK2,29,Cuối kỳ II,90,100
