Mã nhiệm vụ,Phiếu luyện,Tiêu đề,Phần thi,Chuyên đề,Giai đoạn,Cấp độ,Dạng,Điểm KN,Lời giao việc,Ràng buộc
NV-0953,PL-VAN-LIT-L6-010,"Phiếu ôn thi: Tác giả, tác phẩm & giai đoạn văn học — cấp 6",Văn,"Tác giả, tác phẩm & giai đoạn văn học",3,6,Phiếu ôn thi,264,"Hoàn thành 15 câu chuyên đề ""Tác giả, tác phẩm & giai đoạn văn học"" trong khoảng 14 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 11 câu là hoàn thành; đúng từ 13 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 6: Tốc độ và độ chính xác của nhóm dẫn đầu phổ điểm.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0954,PL-VAN-LIT-L6-011,"Phiếu lý thuyết: Tác giả, tác phẩm & giai đoạn văn học — cấp 6",Văn,"Tác giả, tác phẩm & giai đoạn văn học",3,6,Phiếu lý thuyết,176,"Hoàn thành 15 câu chuyên đề ""Tác giả, tác phẩm & giai đoạn văn học"" trong khoảng 20 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 11 câu là hoàn thành; đúng từ 13 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 6: Tốc độ và độ chính xác của nhóm dẫn đầu phổ điểm.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0955,PL-VAN-LIT-L6-012,"Phiếu dạng bài & đọc vị: Tác giả, tác phẩm & giai đoạn văn học — cấp 6",Văn,"Tác giả, tác phẩm & giai đoạn văn học",3,6,Phiếu dạng bài & đọc vị,220,"Hoàn thành 15 câu chuyên đề ""Tác giả, tác phẩm & giai đoạn văn học"" trong khoảng 17 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 11 câu là hoàn thành; đúng từ 13 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 6: Tốc độ và độ chính xác của nhóm dẫn đầu phổ điểm.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0956,PL-VAN-LIT-L6-013,"Phiếu kỹ năng & phương pháp: Tác giả, tác phẩm & giai đoạn văn học — cấp 6",Văn,"Tác giả, tác phẩm & giai đoạn văn học",3,6,Phiếu kỹ năng & phương pháp,242,"Hoàn thành 15 câu chuyên đề ""Tác giả, tác phẩm & giai đoạn văn học"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 11 câu là hoàn thành; đúng từ 13 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 6: Tốc độ và độ chính xác của nhóm dẫn đầu phổ điểm.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0957,PL-VAN-LIT-L6-014,"Phiếu thi: Tác giả, tác phẩm & giai đoạn văn học — cấp 6",Văn,"Tác giả, tác phẩm & giai đoạn văn học",3,6,Phiếu thi,396,"Hoàn thành 15 câu chuyên đề ""Tác giả, tác phẩm & giai đoạn văn học"" trong khoảng 13 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 11 câu là hoàn thành; đúng từ 14 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 6: Tốc độ và độ chính xác của nhóm dẫn đầu phổ điểm.",Phải đạt từ 90% để mở khóa cấp độ tiếp theo của tuyến này. Không tạm dừng giữa chừng.
NV-0958,PL-VAN-GRA-L1-001,Phiếu lý thuyết: Ngữ pháp & lỗi sai trong câu — cấp 1,Văn,Ngữ pháp & lỗi sai trong câu,1,1,Phiếu lý thuyết,32,"Hoàn thành 8 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 10 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0959,PL-VAN-GRA-L1-002,Phiếu dạng bài & đọc vị: Ngữ pháp & lỗi sai trong câu — cấp 1,Văn,Ngữ pháp & lỗi sai trong câu,1,1,Phiếu dạng bài & đọc vị,40,"Hoàn thành 8 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 9 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0960,PL-VAN-GRA-L1-003,Phiếu kỹ năng & phương pháp: Ngữ pháp & lỗi sai trong câu — cấp 1,Văn,Ngữ pháp & lỗi sai trong câu,1,1,Phiếu kỹ năng & phương pháp,44,"Hoàn thành 8 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 8 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0961,PL-VAN-GRA-L1-004,Phiếu luyện nâng cao: Ngữ pháp & lỗi sai trong câu — cấp 1,Văn,Ngữ pháp & lỗi sai trong câu,1,1,Phiếu luyện nâng cao,56,"Hoàn thành 8 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 8 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 8 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0962,PL-VAN-GRA-L1-005,Phiếu ôn thi: Ngữ pháp & lỗi sai trong câu — cấp 1,Văn,Ngữ pháp & lỗi sai trong câu,1,1,Phiếu ôn thi,48,"Hoàn thành 8 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 8 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0963,PL-VAN-GRA-L1-006,Phiếu lý thuyết: Ngữ pháp & lỗi sai trong câu — cấp 1,Văn,Ngữ pháp & lỗi sai trong câu,1,1,Phiếu lý thuyết,32,"Hoàn thành 8 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 10 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0964,PL-VAN-GRA-L1-007,Phiếu dạng bài & đọc vị: Ngữ pháp & lỗi sai trong câu — cấp 1,Văn,Ngữ pháp & lỗi sai trong câu,1,1,Phiếu dạng bài & đọc vị,40,"Hoàn thành 8 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 9 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0965,PL-VAN-GRA-L1-008,Phiếu kỹ năng & phương pháp: Ngữ pháp & lỗi sai trong câu — cấp 1,Văn,Ngữ pháp & lỗi sai trong câu,1,1,Phiếu kỹ năng & phương pháp,44,"Hoàn thành 8 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 8 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0966,PL-VAN-GRA-L1-009,Phiếu luyện nâng cao: Ngữ pháp & lỗi sai trong câu — cấp 1,Văn,Ngữ pháp & lỗi sai trong câu,1,1,Phiếu luyện nâng cao,56,"Hoàn thành 8 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 8 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 8 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0967,PL-VAN-GRA-L1-010,Phiếu ôn thi: Ngữ pháp & lỗi sai trong câu — cấp 1,Văn,Ngữ pháp & lỗi sai trong câu,1,1,Phiếu ôn thi,48,"Hoàn thành 8 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 8 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0968,PL-VAN-GRA-L1-011,Phiếu lý thuyết: Ngữ pháp & lỗi sai trong câu — cấp 1,Văn,Ngữ pháp & lỗi sai trong câu,1,1,Phiếu lý thuyết,32,"Hoàn thành 8 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 10 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0969,PL-VAN-GRA-L1-012,Phiếu dạng bài & đọc vị: Ngữ pháp & lỗi sai trong câu — cấp 1,Văn,Ngữ pháp & lỗi sai trong câu,1,1,Phiếu dạng bài & đọc vị,40,"Hoàn thành 8 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 9 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0970,PL-VAN-GRA-L1-013,Phiếu kỹ năng & phương pháp: Ngữ pháp & lỗi sai trong câu — cấp 1,Văn,Ngữ pháp & lỗi sai trong câu,1,1,Phiếu kỹ năng & phương pháp,44,"Hoàn thành 8 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 8 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0971,PL-VAN-GRA-L1-014,Phiếu luyện nâng cao: Ngữ pháp & lỗi sai trong câu — cấp 1,Văn,Ngữ pháp & lỗi sai trong câu,1,1,Phiếu luyện nâng cao,56,"Hoàn thành 8 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 8 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 8 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0972,PL-VAN-GRA-L1-015,Phiếu thi: Ngữ pháp & lỗi sai trong câu — cấp 1,Văn,Ngữ pháp & lỗi sai trong câu,1,1,Phiếu thi,72,"Hoàn thành 8 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 7 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 8 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Phải đạt từ 90% để mở khóa cấp độ tiếp theo của tuyến này. Không tạm dừng giữa chừng.
NV-0973,PL-VAN-GRA-L2-001,Phiếu lý thuyết: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu lý thuyết,48,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0974,PL-VAN-GRA-L2-002,Phiếu dạng bài & đọc vị: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu dạng bài & đọc vị,60,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 13 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0975,PL-VAN-GRA-L2-003,Phiếu kỹ năng & phương pháp: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu kỹ năng & phương pháp,66,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 12 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0976,PL-VAN-GRA-L2-004,Phiếu luyện nâng cao: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu luyện nâng cao,84,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 12 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0977,PL-VAN-GRA-L2-005,Phiếu ôn thi: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu ôn thi,72,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 11 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0978,PL-VAN-GRA-L2-006,Phiếu lý thuyết: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu lý thuyết,48,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0979,PL-VAN-GRA-L2-007,Phiếu dạng bài & đọc vị: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu dạng bài & đọc vị,60,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 13 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0980,PL-VAN-GRA-L2-008,Phiếu kỹ năng & phương pháp: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu kỹ năng & phương pháp,66,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 12 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0981,PL-VAN-GRA-L2-009,Phiếu luyện nâng cao: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu luyện nâng cao,84,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 12 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0982,PL-VAN-GRA-L2-010,Phiếu ôn thi: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu ôn thi,72,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 11 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0983,PL-VAN-GRA-L2-011,Phiếu lý thuyết: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu lý thuyết,48,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0984,PL-VAN-GRA-L2-012,Phiếu dạng bài & đọc vị: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu dạng bài & đọc vị,60,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 13 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0985,PL-VAN-GRA-L2-013,Phiếu kỹ năng & phương pháp: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu kỹ năng & phương pháp,66,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 12 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0986,PL-VAN-GRA-L2-014,Phiếu luyện nâng cao: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu luyện nâng cao,84,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 12 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0987,PL-VAN-GRA-L2-015,Phiếu ôn thi: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu ôn thi,72,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 11 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0988,PL-VAN-GRA-L2-016,Phiếu lý thuyết: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu lý thuyết,48,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0989,PL-VAN-GRA-L2-017,Phiếu dạng bài & đọc vị: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu dạng bài & đọc vị,60,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 13 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0990,PL-VAN-GRA-L2-018,Phiếu kỹ năng & phương pháp: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu kỹ năng & phương pháp,66,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 12 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0991,PL-VAN-GRA-L2-019,Phiếu thi: Ngữ pháp & lỗi sai trong câu — cấp 2,Văn,Ngữ pháp & lỗi sai trong câu,1,2,Phiếu thi,108,"Hoàn thành 10 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 10 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Phải đạt từ 90% để mở khóa cấp độ tiếp theo của tuyến này. Không tạm dừng giữa chừng.
NV-0992,PL-VAN-GRA-L3-001,Phiếu lý thuyết: Ngữ pháp & lỗi sai trong câu — cấp 3,Văn,Ngữ pháp & lỗi sai trong câu,2,3,Phiếu lý thuyết,72,"Hoàn thành 12 câu chuyên đề ""Ngữ pháp & lỗi sai trong câu"" trong khoảng 20 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
